DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare,Code
2022-07-29 00:00:00+09:00,15:00:00,69630,20220727505826,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,125112000000,22525000000,35261000000,26105000000,266.01,257.92,1059865000000,877764000000,0.828,,,,,,,,,,,,,,,100.0,,100.0,200.0,,,,,,,,,,,252000000000,39000000000,36000000000,32000000000,326.07,,,,,,510000000000,76000000000,74000000000,60000000000,611.38,,,,,,false,false,false,false,false,103000000,4861293,98138427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6963
2022-07-29 00:00:00+09:00,16:00:00,42720,20220729507444,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,48296000000,6380000000,8634000000,5957000000,35.41,35.4,325364000000,252525000000,0.773,,,,,,,,,,,,,,,20.0,,20.0,40.0,,,,,,,,,,,103900000000,12600000000,15000000000,10500000000,62.41,,,,,,210000000000,23800000000,26600000000,19400000000,115.31,,,,,,false,false,false,false,false,170503570,2258052,168245559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272
2022-08-01 00:00:00+09:00,15:00:00,31320,20220801509092,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,241320000000,12265000000,11280000000,7857000000,126.29,,405506000000,191606000000,0.447,,4211000000,-835000000,-3267000000,27249000000,,,,,,,,,,60.0,,60.0,120.0,,,,,,,,,,,464000000000,22000000000,20500000000,14000000000,225.02,,,,,,930000000000,44000000000,41600000000,28000000000,450.05,,,,,,false,false,false,false,false,63030582,814802,62215780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132
2022-08-02 00:00:00+09:00,15:00:00,77290,20220725504158,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,27919000000,5691000000,6496000000,4812000000,118.38,117.29,191927000000,132863000000,0.684,,,,,,,,,,,,,,,109.0,,109.0,218.0,,,,,,,,,,,74500000000,15300000000,15300000000,10800000000,265.0,,,,,,150000000000,31100000000,31100000000,22000000000,541.0,,,,,,false,false,true,false,false,41885581,1222956,40654243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7729
2022-08-04 00:00:00+09:00,15:00:00,41860,20220727505914,2QFinancialStatements_Consolidated_JP,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,84711000000,14810000000,15353000000,9723000000,241.92,241.52,231295000000,175262000000,0.717,4117.91,9187000000,-788000000,-5664000000,46702000000,,78.0,,,,,,,,,,80.0,158.0,,,,,,,,,,,,,,,,,,,,,171800000000,30000000000,31000000000,20400000000,506.59,,,,,,false,true,false,false,false,42600000,2348963,40193516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186
2022-08-04 00:00:00+09:00,15:00:00,34360,20220726504868,2QFinancialStatements_Consolidated_JP,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,207412000000,49751000000,50929000000,31324000000,89.46,,850353000000,565444000000,0.6,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,true,false,false,false,350175139,7900,350167244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436
2022-08-04 00:00:00+09:00,15:00:00,81540,20220803511084,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,149302000000,9820000000,9858000000,6984000000,266.1,,286756000000,115119000000,0.401,,,,,,,,,,,,,,,70.0,,80.0,150.0,,,,,,,,,,,,,,,,,,,,,540000000000,24000000000,24500000000,16000000000,609.58,,,,,,false,true,false,false,false,28702118,2454375,26247868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8154
2022-08-04 00:00:00+09:00,15:30:00,77410,20220803511343,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,180179000000,,,48358000000,132.83,132.73,1023816000000,816410000000,0.811,,,,,420166000000,,,,,,,,,,,,,,,,,,,,,,,,360000000000,,,90500000000,249.5,,,,,,730000000000,,,,,,,,,,false,false,false,false,,365779420,4135476,364065498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7741
2022-08-05 00:00:00+09:00,15:00:00,67070,20220804511603,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,49632000000,935000000,1173000000,157000000,6.54,6.36,271267000000,151939000000,0.378,,,,,,,,,,,,,,,15.0,,15.0,30.0,,,,,,,,,,,94000000000,8500000000,8000000000,2200000000,91.15,,,,,,190000000000,21000000000,20000000000,6700000000,277.61,,,,,,false,true,false,false,false,25098060,961528,24136400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6707
2022-08-05 00:00:00+09:00,16:00:00,69200,20220805512808,FYFinancialStatements_Consolidated_JP,FY,2021-07-01,2022-06-30 00:00:00+09:00,2021-07-01 00:00:00+09:00,2022-06-30 00:00:00+09:00,2022-07-01,2023-06-30,90378000000,32492000000,33582000000,24850000000,275.57,275.34,178629000000,72747000000,0.407,806.45,-3464000000,-5387000000,2149000000,23420000000,,32.0,,65.0,97.0,,8747000000,0.352,,,,,,,,,,52.0,,77.0,129.0,,0.353,,,,,,,,,,,,,,,,140000000000,42000000000,42000000000,33000000000,365.93,false,true,false,false,false,94286400,4105696,90179856,82016000000,27334000000,29592000000,22113000000,245.22,167749000000,66176000000,0.394,733.58,,,,,,,,,,,,,,,,,,,,,6920
2022-08-08 00:00:00+09:00,11:30:00,42030,20220808514039,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,71733000000,6732000000,,4711000000,100.11,,377295000000,246969000000,0.649,,3060000000,-5046000000,-14510000000,99673000000,,,,,,,,,,60.0,,60.0,120.0,,,,,,,,,,,,,,,,,,,,,290000000000,,,21000000000,446.28,,,,,,false,false,false,false,,49590478,2535178,47055512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203
2022-08-08 00:00:00+09:00,15:30:00,63150,20220721502525,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,14592000000,2859000000,3223000000,2357000000,94.28,,73110000000,43163000000,0.585,,,,,,,,,,,,,,,0.0,,40.0,40.0,,,,,,,,,,,27000000000,6030000000,6030000000,4220000000,168.74,,,,,,55000000000,12200000000,12200000000,8500000000,339.88,,,,,,false,false,false,false,false,25021832,13221,25008611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6315
2022-08-08 00:00:00+09:00,15:30:00,80350,20220722503342,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,473654000000,117519000000,117692000000,88095000000,565.59,562.98,1846911000000,1314847000000,0.704,,,,,,,,,,,,,,,751.0,,927.0,1678.0,,,,,,,,,,,1100000000000,319000000000,319000000000,234000000000,1502.29,,,,,,2350000000000,716000000000,716000000000,523000000000,3357.63,,,,,,false,false,false,false,false,157210911,1443724,155756620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8035
2022-08-09 00:00:00+09:00,15:00:00,67280,20220809515489,FYFinancialStatements_Consolidated_JP,FY,2021-07-01,2022-06-30 00:00:00+09:00,2021-07-01 00:00:00+09:00,2022-06-30 00:00:00+09:00,2022-07-01,2023-06-30,241260000000,30061000000,32200000000,20211000000,410.37,,354304000000,196484000000,0.533,3837.17,33931000000,-7432000000,-6445000000,107106000000,,,,124.0,124.0,,6120000000,0.302,,,,,,,,,,,,141.0,141.0,,0.302,,,,,,118000000000,13500000000,14000000000,9200000000,186.81,,,,,,250000000000,34500000000,35500000000,23000000000,467.01,false,true,false,false,false,49355938,106961,49248995,108458000000,11287000000,21596000000,18656000000,378.75,230448000000,126352000000,0.548,2565.25,,,,,,,,,,,,,,,,,,,,,6728
2022-08-10 00:00:00+09:00,13:00:00,44010,20220809516426,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,101718000000,9060000000,10437000000,6137000000,59.58,,496551000000,304022000000,0.514,,,,,,,,,,,,,,,35.0,,35.0,70.0,,,,,,,,,,,203000000000,15600000000,15600000000,9800000000,95.14,,,,,,420000000000,37000000000,36900000000,22000000000,213.58,,,,,,false,false,true,false,false,103768142,760586,103007581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401
2022-08-10 00:00:00+09:00,15:00:00,67230,20220810517826,2QFinancialStatements_Consolidated_IFRS,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,722908000000,210005000000,,110437000000,56.96,55.82,2858842000000,1467728000000,0.509,,228303000000,-49813000000,-181242000000,247854000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,1952747173,168069831,1938971343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723
2022-08-12 00:00:00+09:00,15:30:00,68900,20220810518548,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,43386000000,7791000000,10204000000,7355000000,164.78,156.9,315282000000,197378000000,0.489,3393.73,,,,,,,,,,,,,,35.0,,35.0,70.0,,,,,,,,,,,90000000000,16000000000,19000000000,12000000000,266.37,,,,,,195000000000,32500000000,34000000000,20000000000,440.15,,,,,,false,true,false,false,false,45533630,94096,44641863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6890
2022-08-31 00:00:00+09:00,15:00:00,43690,20220824523770,2QFinancialStatements_Consolidated_JP,2Q,2022-02-01,2022-07-31 00:00:00+09:00,2022-02-01 00:00:00+09:00,2023-01-31 00:00:00+09:00,,,6548000000,1911000000,3508000000,2703000000,83.2,,30301000000,23777000000,0.785,,4496128000,-1037589000,-1179254000,10306661000,,0.0,,,,,,,,,,22.0,22.0,,,,,,,,,,,,,,,,,,,,,13600000000,3621000000,6648000000,5193000000,159.82,,,,,,false,true,false,false,false,32498640,1610,32497052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4369
2022-09-29 00:00:00+09:00,15:30:00,27600,20220927536714,EarnForecastRevision,2Q,2022-04-01,2022-09-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000000000,,4850000000,3350000000,338.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760
2022-10-06 00:00:00+09:00,15:00:00,69630,20221005541060,EarnForecastRevision,2Q,2022-04-01,2022-09-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259500000000,50000000000,70000000000,52000000000,529.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6963
2022-10-11 00:00:00+09:00,15:00:00,63230,20220831526335,2QFinancialStatements_Consolidated_JP,2Q,2022-03-01,2022-08-31 00:00:00+09:00,2022-03-01 00:00:00+09:00,2023-02-28 00:00:00+09:00,,,45753000000,10932000000,16901000000,12366000000,715.61,714.27,111078000000,66079000000,0.542,,,,,,,0.0,,,,,,,,,,110.0,110.0,,,,,,,,,,,,,,,,,,,,,96466000000,23225000000,30805000000,22793000000,1318.94,,,,,,false,true,false,false,false,17640000,358695,17281305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6323
2022-10-20 00:00:00+09:00,16:00:00,61460,20221014544995,2QFinancialStatements_Consolidated_JP,2Q,2022-04-01,2022-09-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,139281000000,54870000000,57582000000,40673000000,1126.9,1123.3,428166000000,316776000000,0.737,,38261000000,-7379000000,-21965000000,136405000000,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,36100571,5115,36093239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6146
2022-10-20 00:00:00+09:00,16:00:00,61460,20221019546425,EarnForecastRevision,3Q,2022-04-01,2022-12-31 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000000000,63100000000,82000000000,60900000000,1687.19,,,,,,6146
2022-10-26 00:00:00+09:00,15:00:00,67230,20221026549670,3QFinancialStatements_Consolidated_IFRS,3Q,2022-01-01,2022-09-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,1110040000000,327942000000,,185153000000,98.07,96.21,3013317000000,1654206000000,0.548,,373168000000,-68263000000,-261740000000,310116000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,1957677423,168069831,1888006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723
2022-10-27 00:00:00+09:00,13:30:00,77410,20221026550208,2QFinancialStatements_Consolidated_IFRS,2Q,2022-04-01,2022-09-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,364291000000,,,95459000000,263.8,263.61,1056093000000,826170000000,0.793,,,,,424125000000,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730000000000,,,,,,,,,,true,false,false,false,,361075720,3528456,361865352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7741
